В приложении 10 к Конвенции о международной ГА изложены,Рекомендуемая практика авиационной электросвязи,Стандарты авиационной электросвязи
ФАП РТОП ВС и АЭС в ГА устанавливают порядок,"организации РТОП ВС и АЭС в целях удовлетворения потребностей пользователей воздушного пространства РФ, органов ОВД и обеспечения безопасности воздушного движения"
В каких случаях допускается отсутствие в 3-5 обзорах подряд радиолокационной информации по ВС от ОРЛ-А?,при движении ВС по участку с тангенциальным направлением скорости,при развороте ВС
РЛС ОЛП в обязательном порядке устанавливается,"ФАП, приказ 297 от 20.10.2014, данный вопрос не регламентирует"
Установите соответствие между типом средства наблюдения и периодом обновления информации,?,?,?
Радиотехническое обеспечение полётов ВС и авиационная электросвязь это,"предоставление пользователям ВП информации от средств наблюдения, радионавигации и посадки","предоставление органам ОВД информации от средств наблюдения, радионавигации и посадки",обеспечение авиационной электросвязью пользователей ВП и органов ОВД
ОРЛ- А предназначен,для обнаружения и определения координат (азимут-дальность) ВС в районе аэродрома с последующей выдачей информации о возд. обстан. в центры (пункты) ОВД для целей контроля и обеспечения УВД
Требования ФАП РТОП ВС и АЭС в ГА обязательны для,"юридических лиц и физических лиц, осуществляющих эксплуатацию средств РТОП ВС и АЭС","юридических лиц и физических лиц, осуществляющих и обеспечивающих АНО пользователей ВП"
ОРЛ- Т предназначен,для обнаружения и определения координат (азимут-дальность) ВС во внеаэродромной зоне (на трассах и вне трасс) с последующей выдачей информации о воздушной обстановке в центры (пункты) ОВД для целей контроля и обеспечения УВД
В какие органы  УВД передаётся информация с наземных станций АЗН-К?,"в орган УВД, под управлением которого в данный момент времени находится ВС"
SIC - это,системный идентификационный код средства наблюдения
SAC - это,системный код региона
Наземная станция АЗН-В предназначена,для наблюдения за ВС при приеме от него дополнительной информации по ЛПД,для наблюдения за ВС при приеме от него информации по ЛПД о местоположении
"Регистрация и централизованный учет радиоизлучающих средств РТОП и АЭС, вводимых в эксплуатацию,  производится:",Федеральной службой безопасности РФ
По выделенным  радиочастотам:,ведется учет в предприятиях ГА,при прекращении использования выдаются сообщения  в межрегиональные управления Росавиации,ведется учет в межрегиональных управлениях ФАВТ
 Какие сведения не содержит заявка на выделение и использование рабочих частот?,таблица углов закрытия,шаг сетки частот передающего устройства
Выделение радиочастот  для осуществления радиотехнического обеспечения полетов и АЭС производится,Министерством обороны РФ
Разрешение на выделение радиочастоты для ВЧ или ОВЧ радиосети означает:,что частота выделена для всех радиостанций радиосети
Заявка на выделение радиочастот направляется:,в Росавиацию через межрегиональные управления ФАВТ
Какими документами определяется порядок и содержание ТО средств РТОП и АЭС?,месячными планами работ инженерно- технического персонала,"регламентом (инструкцией) ТО, разработанным на предприятии ГА",годовым графиком технического обслуживания,требованиями эксплуатационной документации
На какой  срок для воспроизведения информации выдается съемный носитель ,не более пяти суток,не более 30 суток в случае отсутствия возможности произвести обработку записанной информации в указанный срок из-за местных условий
Какие средства измерений должны применяться при эксплуатации средств РТОП и связи?,исправные средства измерений,"средства измерений, прошедшие своевременную поверку (калибровку)  в аккредитованных метрологических службах организаций","средства измерений, прошедшие своевременную поверку (калибровку)  в государственных метрологических службах"
"РМА считается расположенным в створе ВПП, если:","магнитный путевой угол (МПУ) последней прямой захода на посадку отличается от МПУ залегания ВПП, используемой для посадки, на угол не более  5°"
Авиационное радиовещание предназначено для:,"обеспечения автоматической передачи информации экипажей воздушных судов, в районе аэродрома","обеспечения информацией экипажей ВС, находящихся в полете, при оперативном полетно-информационном обслуживании","обеспечения автоматической передачи метеоинформации экипажам воздушных судов, находящихся на маршруте"
В зависимости от адресной строки телеграммы подразделяются на:,коллективные,циркулярные,многоадресные,одноадресные
При годовом ТО систем электроснабжения проводится,проверка срабатывания защиты в электроустановках до 1000 В при системе питания с заземленной нейтралью,осмотр и проверка в объёме ТО-2,осмотр аппаратов защиты и контактных соединений,измерения сопротивления изоляции аппаратов защиты и отходящих электрических кабелей (электропроводки)
Какой показатель используется для определения количества резервных средств авиационной фиксированной электросвязи?,количество действующих каналов связи
Какие функции из перечисленных не обеспечивают средства единого времени ,"выдачу шкалы времени в локальную вычислительную сеть, а также выдачу секундной метки времени потребителям по параллельному и последовательному интерфейсу;"
Установите соответствие состояния резервных элементов средств РТОП и АЭС виду резервирования:,?,?,?
Плановые остановки объектов РТОП и связи или одного из объектообразующих элементов продолжительностью более 8 часов проводятся,"с оповещением в установленном порядке через НОТАМ заинтересованных организаций и пользователей воздушного пространства за 7 суток до начала остановок с указанием их причины, даты, времени начала и окончания остановки"
ОСП состоит из:,двух приводных радиостанций с МРМ (дальняя и ближняя)
Формуляр на средства РТОП и связи,заменяется новым при заполнении всех листов формуляра и невозможности подклейки дополнительных листов,ведется по всем разделам,"заменяющий старый, заполняется предыдущими данными по каждому разделу","содержит все параметры и технические характеристики средств РТОП и связи, сведения по эксплуатации данных средств, включая программные средства"
Какие средства авиационной электросвязи относятся к основным?,"радиопередатчики, радиоприемники, радиостанции ВЧ диапазона",наземные станции спутниковой связи,системы коммутации речевой связи,каналообразующее оборудование и системы,автоматизированные приемо-передающие центры,оборудование автоматической передачи метеорологической и полетной информации,автономные радиоретрансляторы,оборудование авиационной наземной сети передачи данных и телеграфной связи,"радиопередатчики, радиоприемники  и радиостанции ОВЧ диапазона"
"Каким образом контролируется и кем проверяется работоспособность автоматизированных объектов РТОП и связи, работающих без постоянного присутствия персонала?",по отзывам диспетчерского состава,сменным инженером службы ЭРТОС,"по сигналам системы дистанционного контроля, управления и сигнализации",по отзывам летных экипажей ВС
Какое оборудование устанавливается на рабочем месте сменного инженера службы ЭРТОС?,средства дистанционного управления и контроля за автоматизированными объектами РТОП и связи,средства телефонной и/или громкоговорящей связи с рабочими местами дежурных смен службы ОВД,средства телефонной и/или громкоговорящей связи с другими службами организаций гражданской авиации и объектами РТОП и связи
К средствам радионавигации и посадки относятся:,отдельная приводная радиостанция (ОПРС),всенаправленный ОВЧ радиомаяк азимутальный (РМА),радиомаячная система инструментального захода ВС на посадку (РМС),глобальная навигационная спутниковая система (GNSS),маркерный радиомаяк (МРМ),радиотехническая система ближней навигации (РСБН),оборудование системы посадки (ОСП),всенаправленный УВЧ радиомаяк дальномерный (РМД)
Частота излучения МРМ составляет:,75 МГц
АС УВД предназначены для?,обработки информации о ВД и планах полетов,отображения на рабочих местах диспетчеров  информации о ВД и планах полетов,сбора информации о ВД и планах полетов,распределения информации о ВД и планах полетов
Бортовая система функционального дополнения (ABAS) обеспечивает:,интегрирования данных ГНСС с данными других навигационных систем,соответствие навигационного обслуживания GNSS авиационным требованиям
"При отсутствии в эксплуатационной документации инструкции (регламента) по ТО, техническое обслуживание средств РТОП и связи:",разрабатывается инструкция (регламент) ТО средства в организации
Какие объекты могут использоваться для организации сетей авиационной электросвязи?,приемный радиоцентр,радиобюро (станция) связи,передающий радиоцентр,"центры коммутации сообщений федерального, регионального и оконечного уровня, а также ОС",автономный ретранслятор (удаленная радиостанция) авиационной подвижной связи,автоматизированный приемо-передающий центр
Аварийно-спасательные сети используются в случаях:,невозможности передачи информации пункту ОВД по основной радиосети,"необходимости установления и ведения связи между ВС, находящимся в аварийном состоянии, и воздушным судном, занятым поисково-спасательными работами"
Укажите срок обязательного хранения съемных цифровых носителей с задокументированной информацией ,не менее 30 суток
Для обеспечения ОВД на воздушных трассах и вне трасс могут организовываться следующие радиосети и радиоканалы:,для управления с РЦ в ОВЧ диапазоне с использованием системы избирательного вызова (SELCAL),для управления с РЦ в ОВЧ диапазоне,связь с РЦ в ВЧ диапазоне,связь с РЦ в ВЧ диапазоне  с использованием системы избирательного вызова (SELCAL),обмен данными по цифровой линии связи между диспетчером органа ОВД и экипажем ВС (CPDLC),связь в ВЧ диапазоне,аварийно-спасательная связь в ОВЧ диапазоне
Какие мероприятия проводятся при эксплуатации в особых условиях?,"организуется осмотр объектов РТОП и АЭС, АФС и ЛКС",при необходимости организуются восстановительные работы,разрабатываются инструкции о действиях ИТП при получении предупреждения об опасных явлениях,принимаются меры по устранению повреждений
Метеорологическая информация в районе аэродрома может передаваться с использованием:,автоматическая передача метеорологической и полетной информации АТИС в ОВЧ диапазоне
РМС-II обеспечивает информацией при заходе ВС на посадку от:,"границы зоны действия РМС до высоты принятия решения, соответствующей 30 м над горизонтальной плоскостью, проходящей через порог ВПП."
Выберите варианты электроснабжения для электроприёмников  первой категории:,электроснабжение осуществляется от двух независимых взаимно резервирующих источников питания с автоматическим восстановлением питания (переключением на резервный источник) при нарушении электроснабжения от одного из источников питания
Какие сведения приводятся в технологических картах ТО?,контрольно-измерительные приборы,инструмент,приспособления и материалы,трудозатраты,наименование (номинальное значение) контролируемого определяющего параметра (признака) или операции ТО
Какие из перечисленных видов используются для резервирования средств РТОП и АЭС?,смешанное резервирование,общее резервирование,раздельное резервирование
Каким образом проверяются и испытываются  дизельные электростанции?,дважды в год осуществляются лабораторные проверки качества дизтоплива,периодичность проверки – не реже одного раза в месяц,продолжительность проверки – не менее 20 мин,необходимый перечень видов и объем проверок с учетом специфики местных условий определяется технологической картой ДЭС,проверка под номинальной нагрузкой
"Установите соответствие задач, решаемых средством автоматизации, уровням автоматизации",?,?,?,?,?,?
В зависимости от стадии обработки телеграммы подразделяются на:,входящие,исходящие,транзитные
Какие виды работ включает ТО ЛКС?,сезонные работы на трассах,мероприятия по техническому надзору,осмотр кабельных (воздушных) трасс,плановые ремонтные работы на кабельных (воздушных) линиях связи,измерения электрических характеристик кабеля (воздушной линии связи)
Кратковременные остановки объектов РТОП и связи продолжительностью до 30 минут проводятся,с разрешения сменного инженера службы ЭРТОС по согласованию с руководителем полетов
Частота модуляции сигнала МРМ устанавливается следующей,ДМРМ - 400 Гц,БМРМ - 1300 Гц,внутренний МРМ - 3000 Гц
Антенну ДПРМ рекомендуется размещать на расстоянии:,3800-7000 м от порога ВПП,на продолжении осевой линии ВПП не более  75 м от нее
Каким документом подтверждается пригодность средств РТОП и АЭС к эксплуатации?,сертификатом типа средства уполномоченного госоргана,сертификатом  соответствия средства уполномоченного госоргана
Метеорологическая информация на маршруте может передаваться с использованием:,автоматическая передача метеорологической информации ВОЛМЕТ в ОВЧ диапазоне,автоматическая передача метеорологической информации ВОЛМЕТ в ВЧ диапазоне
Применение спутниковой системы функционального дополнения (SBAS) повышает: ,"эксплуатационную готовность ГНСС до уровня, позволяющего обеспечить заход воздушного судна на посадку с вертикальным наведением (APV).",целостность
Какие этапы включает в себя ввод объекта в эксплуатацию?,получение разрешения на использование радиочастот (радиочастотных каналов),"планирование работ по вводу в эксплуатацию новых РТС, реконструкции объектов РТОП и связи и замене выработавшего ресурс (срок службы) оборудования","приемо-сдаточные испытания, наземные и летные проверки средств РТОП и связи и приемка законченных строительством объектов РТОП и связи",монтажные и пуско-наладочные работы средств РТОП и АЭС,регистрация вводимых в эксплуатацию радиоизлучающих средств РТОП и связи
Какое оборудование из перечисленного не относится к средствам автоматизации управления воздушным движением? ,оборудование видеонаблюдения,системы коммутации речевой связи
Выберите варианты электроснабжения для электроприёмников второй категории:,электроснабжение осуществляется от двух независимых взаимно резервирующих источников питания с включением резервного питания действиями дежурного персонала или выездной оперативной бригады
Срок хранения подлинников телеграмм:,не менее 30 суток
"Категория срочности ФФ присваивается телеграммам, имеющим сообщения:",о передаче УВД,о внезапно возникших или ожидаемых опасных для авиации метеорологических явлениях,о прогнозе погоды и фактической погоде,о планах полетов,о вылетах воздушных судов,о местонахождении воздушных судов в полете,"о воздушном судне, находящемся в полете или готовом к вылету","для немедленной передачи экипажу воздушного судна, находящегося в полете или готового к вылету"
"Заключение, подтверждающее обеспечение эквивалентного уровня безопасности полетов утверждается: ",старшим авиационным начальником аэродрома
РМД диапазона УВЧ предназначен для:,измерения дальности ВС относительно места установки радиомаяка при полетах ВС по воздушным трассам и в районе аэродрома
В каком документе ведётся учёт работ по ремонту средств РТОП и связи?,в электронном журнале ТО и ремонта объекта,в журнале ТО и ремонта объекта
"SBAS, для каждого контролируемого спутника основного спутникового созвездия:",оценивает ошибки спутниковых часов,передает поправки и другие данные потребителям через геостационарный спутник,оценивает ошибки передаваемых параметров эфемерид
"Если антенна РМД не совмещена с обеспечивающим наведение по линии пути РМА, максимальное расхождение между направлением из контрольной точки, в которой требуется информация о дальности до порога ВПП, на РМА и на РМД не должно превышать:",23°
Какие виды включает ТО систем электроснабжения объектов РТОП и связи,годовое периодическое техническое обслуживание (ТО-6),техническое обслуживание (ТО-2)
"Средства РТОП и связи, выработавшие срок службы (ресурс)",проводится работа по оценке возможности продления срока службы (ресурса) центром ОВД,подвергаются проверке в целях определения возможности их дальнейшего использования
Что неверно применительно к приведенному пункту ФАП 297: «В зависимости от используемых источников информации средства отображения обеспечивают совмещенное отображение»,пеленгационной информации в виде прямой линии от места размещения ВПП до воздушного судна
С какой целью проводятся доработки средств РТОП и связи?,для устранения конструктивных и производственных недостатков,для повышения надежности,"для улучшения их тактических, технических и эксплуатационных характеристик"
"Категория срочности СС присваивается телеграммам, имеющим сообщения:",об ограничении или прекращении приема ВС на аэродроме,о летных происшествиях,"по вопросам оказания помощи терпящим бедствие людям, воздушным и морским судам",о возобновлении приема ВС на аэродроме,о полете ВС на запасной аэродром,о сигналах бедствия или срочности,"о воздушных судах, не прибывших в аэропорты назначения","о воздушных судах, потерявших связь и не обнаруженных радиолокаторами"
Какие требования установлены Правилами по охране труда при эксплуатации электроустановок по ведению учета работ по нарядам-допускам и распоряжениям?,Независимо от принятого в организации порядка учета работ по наряд-допускам и распоряжениям факт допуска к работе должен быть зарегистрирован записью в оперативном документе
В каком случае нарушен порядок хранения и выдачи ключей?,Допускается возвращать ключи от электроустановок оперативному персоналу в течение трех дней после полного окончания работ
Кто проводит первичный инструктаж командированному персоналу при проведении работ в электроустановках до 1000 В?,"Работник организации - владельца электроустановок из числа административно-технического персонала, имеющий группу IV"
Допускается ли оформлять наряд-допуск в электронном виде?  ,Разрешено оформлять наряд-допуск в электронном виде и передавать по электронной почте
Кто имеет право проводить обслуживание аккумуляторных батарей и зарядных устройств?,"Специально обученный персонал, имеющий III группу по электробезопасности"
Когда допускается выдавать один наряд-допуск для одновременного или поочередного выполнения работ на разных рабочих местах одной электроустановки?  ,Для работы на электродвигателях одного напряжения и присоединениях одного РУ
"Какую группу по электробезопасности должны иметь ответственный руководитель работ и производитель работ, имеющие право выполнения работ под напряжением на токоведущих частях,  при работах в электроустановках до 1000 В ?",Не ниже IV
"У кого могут быть на учете ключи от электроустановок, не имеющих местного оперативного персонала?",У административно-технического персонала
В каких электроустановках могут выполняться работы в порядке текущей эксплуатации?,В электроустановках напряжением до 1000 В
Как классифицируются электроинструмент и ручные электрические машины по способу защиты от поражения электрическим током?,"Делятся на 3 класса - первый, второй и третий"
За выполнение какой из перечисленных функций не несет ответственность производитель работ?,"За достаточность и правильность указанных в наряд-допуске (распоряжении) мер безопасности, за качественный и количественный состав бригады"
Что является подтверждением проведения и получения целевого инструктажа членами бригады?,Подписи членов бригады в таблицах регистрации целевых инструктажей
За что отвечает допускающий?,"За правильность и достаточность принятых им мер безопасности по подготовке рабочих мест и соответствие их мероприятиям, указанным в наряд-допуске или распоряжении, характеру и месту работы, за правильный допуск к работе, а также за полноту и качество проводимого им целевого инструктажа"
"Кому проводит целевой инструктаж, предусматривающий указания по безопасному выполнению конкретной работы, отдающий распоряжение?",Производителю (наблюдающему) или непосредственному исполнителю работ
Каким способом может быть передано разрешение на продление наряд-допуска?,"По телефону, радио или с нарочным допускающему, ответственному руководителю работ, производителю работ или наблюдающему (в случае если ответственный руководитель работ и производитель работ не назначаются). В этом случае допускающий, ответственный руководитель работ, производитель работ или наблюдающий за своей подписью указывает в наряд-допуске фамилию и инициалы работника, продлившего наряд-допуск-допуск."
"В каких случаях оперативный персонал, находящийся на дежурстве можно привлекать к работе в бригаде по наряд-допуску?","Можно, по разрешению работника из числа вышестоящего оперативного персонала, с записью в оперативном журнале и оформлением в наряд-допуске"
На какой срок может быть продлен наряд-допуск на производство работ в электроустановках?  ,1 раз на срок не более 15 календарных дней со дня продления
